Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),Atomic Energy,"Focuses on fast reactors and advanced fuel cycles with emphasis on safety, sustainability, and innovation.",https://www.myscheme.gov.in,21,none,any,any,null,IGCAR scientist / Fuel-Cycle Research Collaborator,any,any,any,Central,Graduate+,any,any,IGCAR scientists and DAE research collaborators working on fuel cycle and fast reactor systems.
R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),Atomic Energy,"AMDER's initiatives in geological surveys, mineral mapping, and exploration for atomic minerals.",https://www.myscheme.gov.in,21,none,any,any,null,Geologist / Mineral Researcher / Survey Team,any,any,any,Central,Graduate+,any,any,"AMDER scientists, geologists, and survey teams in atomic mineral exploration and mapping."
Grants to other Institutions,Atomic Energy,Grants provided to other institutions for atomic research collaboration and infrastructure support.,https://www.myscheme.gov.in,21,none,any,any,null,scientific/Academic Institution,any,any,any,Central,Graduate+,any,any,Recognized scientific or academic institutes working on atomic energy-related research or infra.
Fuel Recycle Projects (NRB),Atomic Energy,Projects for fuel reprocessing and recycling in closed-loop systems for fast reactors.,https://www.myscheme.gov.in,21,none,any,any,null,Nuclear scientist / Fuel Technologist,any,any,any,Central,Graduate+,any,any,"Nuclear plant operators, reprocessing teams, and scientists in fuel cycle systems."
Housing Projects,Atomic Energy,Development and maintenance of housing for atomic energy department employees.,https://www.myscheme.gov.in,21,none,any,any,null,Civil Engineer / Contractor / Housing Board,any,any,any,Central,Graduate+,any,any,"DAE housing boards, construction contractors, and engineers managing housing development."
Improvement/Modifications of Heavy water projects,Atomic Energy,Upgradation and efficiency improvement of heavy water production plants.,https://www.myscheme.gov.in,21,none,any,any,null,Heavy Water Engineer / Technical staff,any,any,any,Central,Graduate+,any,any,Technical teams and engineers working on efficiency improvement of heavy water plants.
Radiation and Isotopes Project (BRIT),Atomic Energy,"Projects by BRIT focusing on radiation technologies and isotope production for health, industry, and agriculture.",https://www.myscheme.gov.in,21,none,any,any,null,BRIT scientist / Isotope Lab / Partner Unit,any,any,any,Central,Graduate+,any,any,"BRIT scientists, isotope application units, and institutions using radiation/isotope technology."
Nuclear Power Projects,Atomic Energy,"Construction, operation, and maintenance of nuclear power plants across India.",https://www.myscheme.gov.in,21,none,any,any,null,NPCIL Engineer / EPC Contractor / Project Dev,any,any,any,Central,Graduate+,any,any,"NPCIL engineers, EPC contractors, and eligible project developers in nuclear power sector."
Nuclear Fuel Fabrication Projects,Atomic Energy,Production and supply of nuclear fuel assemblies for Indian reactors.,https://www.myscheme.gov.in,21,none,any,any,null,Fuel Fabricator / DAE Vendor,any,any,any,Central,Graduate+,any,any,Approved nuclear fuel units and DAE-authorized vendors involved in reactor fuel production.
Atomic Energy Regulatory Board Expansion Project,Atomic Energy,Projects supporting regulatory framework strengthening and infrastructure for nuclear safety.,https://www.myscheme.gov.in,21,none,any,any,null,AERB scientist / Nuclear Safety Expert,any,any,any,Central,Graduate+,any,any,scientists and oversight bodies involved in regulatory and nuclear safety enhancement.
R&D projects of Variable Energy Cyclotron Centre (VECC),Atomic Energy,VECC's R&D involving particle accelerators and cyclotron-based technologies for science and medicine.,https://www.myscheme.gov.in,21,none,any,any,null,VECC Researcher / Particle Physicist,any,any,any,Central,Graduate+,any,any,VECC staff and collaborating researchers in cyclotron and medical physics innovations.
Industries and Minerals Projects,Atomic Energy,Projects in atomic minerals exploration and industrial support activities in the atomic sector.,https://www.myscheme.gov.in,21,none,any,any,null,Mining Industry / DAE-Linked Industry staff,any,any,any,Central,Graduate+,any,any,Industries and professionals in atomic mineral extraction and industrial DAE sectors.
Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,Atomic Energy,Development of Fast Reactor Fuel Cycle Facility (FRFCF) to support closed fuel cycle operations.,https://www.myscheme.gov.in,21,none,any,any,null,FRFCF Technical Team / Physicist / Developer,any,any,any,Central,Graduate+,any,any,"FRFCF scientists, reactor physicists, and staff engaged in fast reactor fuel cycle development."
Nuclear Fuel Inventory,Atomic Energy,Procurement and management of nuclear fuel inventory to ensure energy security for reactor operations.,https://www.myscheme.gov.in,21,none,any,any,null,DAE Officer / Nuclear Plant Operator,any,any,any,Central,Graduate+,any,any,Fuel procurement and inventory staff within DAE and nuclear power agencies.
"Information, Education and Communication",Ministry of AYUSH,"This scheme focuses on raising awareness and educating the public on AYUSH systems through multimedia, workshops, and publications.",https://www.myscheme.gov.in,21,none,any,any,null,Public Health Educator / NGO / AYUSH Dept,any,any,any,Central,Graduate+,any,any,"AYUSH departments, NGOs, and health educators engaged in public awareness and promotion."
Promotion of International Cooperation,Ministry of AYUSH,"A scheme to promote AYUSH systems globally through MoUs, exchange programmes, and international exhibitions.",https://www.myscheme.gov.in,21,none,any,any,null,Research Body / AYUSH Institution / Delegate,any,any,any,Central,Graduate+,any,any,"AYUSH institutions, research partners, and delegates involved in global collaborations and exchanges."
AYURGYAN,Ministry of AYUSH,This scheme supports capacity building and research development in AYUSH educational institutions.,https://www.myscheme.gov.in,21,none,any,any,null,AYUSH College / University / Research Institute,any,any,any,Central,Graduate+,any,any,"Recognized AYUSH colleges, universities, and research bodies supported by Ministry of AYUSH."
Ayurswasthya Yojana,Ministry of AYUSH,"A scheme aimed at preventive healthcare through AYUSH interventions, public health outreach, and traditional wellness practices.",https://www.myscheme.gov.in,21,none,any,any,null,NGO / Health Partner / state AYUSH Dept,any,any,any,Central,Graduate+,any,any,"state/UT AYUSH depts, NGOs, and outreach groups involved in public health through AYUSH."
AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),Ministry of AYUSH,Focused on improving the quality and manufacturing standards of AYUSH medicines across India.,https://www.myscheme.gov.in,21,none,any,any,null,Licensed AYUSH Drug Manufacturer / Pharma Firm,any,any,any,Central,Graduate+,any,any,AYUSH drug manufacturers licensed under Ministry guidelines for quality improvement.
"Central Sector scheme for Conservation, Development and Sustainable Management of Medicinal Plants",Ministry of AYUSH,"Supports conservation, cultivation, and sustainable management of medicinal plants used in AYUSH practices.",https://www.myscheme.gov.in,21,none,any,any,null,Farmer / Forest Dept / Medicinal Plant Board,any,any,any,Central,none,any,any,"Farmers, cooperatives, forest depts, and boards working with medicinal plant cultivation and conservation."
New schemes of Petrochemicals,Department of Chemicals & Petrochemicals,"This scheme aims to promote the growth and development of the petrochemical sector in India by supporting research, infrastructure, and skill development.",https://www.myscheme.gov.in,21,none,any,any,null,Petrochemical Industry / R&D Institution,any,any,any,Central,Graduate+,any,any,"Petrochemical companies, academic bodies, and industry associations for research and infrastructure support."
Nutrient Based Subsidy (NBS),Department of Fertilizers,"NBS policy offers a fixed rate subsidy on fertilizers based on nutrient content, encouraging balanced fertilization and reducing overuse of urea.",https://www.myscheme.gov.in,21,none,any,any,null,Fertilizer Manufacturer / Importer,any,any,any,Central,Graduate+,any,any,Fertilizer companies producing/importing phosphatic and potassic fertilizers under NBS guidelines.
scheme for Promotion of Flagging of Merchant Ships in India,Department of Fertilizers,"scheme to enhance India’s maritime trade logistics, indirectly supporting fertilizer transport and distribution.",https://www.myscheme.gov.in,21,none,any,any,null,Indian Shipping Company / DG Shipping Registered,any,any,any,Central,Graduate+,any,any,Indian shipping companies operating under Indian flag and registered with DG Shipping.
Policy on Promotion of Organic Fertilizers,Department of Fertilizers,"Promotes production and use of organic fertilizers (compost, bio-fertilizers) to foster sustainable agriculture.",https://www.myscheme.gov.in,21,none,any,any,null,Organic Fertilizer Producer / Bio-fertilizer Unit,any,any,any,Central,none,any,any,"Licensed producers, cooperatives, and bio-fertilizer units promoting sustainable farming practices."
Jan Aushadhi scheme,Department of Pharmaceuticals,Aims to provide quality generic medicines at affordable prices through Pradhan Mantri Bhartiya Janaushadhi Kendras (PMBJKs).,https://www.myscheme.gov.in,21,none,any,any,null,Entrepreneur / Pharmacist / Doctor / NGO,any,any,any,Central,Graduate+,any,any,Individuals meeting qualification & infra norms to open PMBJKs (pharmacy outlets for generic drugs).
"Consumer Awareness, Publicity and Price Monitoring",Department of Pharmaceuticals,"Seeks to educate consumers on medicine pricing and quality, ensure transparency, and monitor overpricing by pharma companies.",https://www.myscheme.gov.in,18,none,any,any,null,Consumer Org / NGO / Regulator / Govt Agency,any,any,any,Central,none,any,any,"Regulatory bodies, NGOs, and gov. agencies involved in drug pricing and public awareness."
Development of Pharmaceutical Industry,Department of Pharmaceuticals,"Supports infrastructure development, tech upgrade, and R&D in Indian pharma sector to boost competitiveness and encourage innovation.",https://www.myscheme.gov.in,21,none,any,any,null,Pharma MSMEs / Research Institute / Infra Developer,any,any,any,Central,Graduate+,any,any,"Pharma MSMEs, clusters, and institutions involved in infrastructure and R&D in pharma parks."
Production Linked Incentive (PLI) scheme,Department of Pharmaceuticals,"Provides incentives to promote domestic manufacturing of APIs, drug intermediates, and key starting materials, reducing import dependence.",https://www.myscheme.gov.in,21,none,any,any,null,API Manufacturer / Pharma Company,any,any,any,Central,Graduate+,any,any,"Indian-registered pharma manufacturers producing APIs, KSMs, and drug intermediates."
Promotion of Research and Innovation in Pharma Med-Tech (PRIP),Department of Pharmaceuticals,strengthens R&D and innovation in pharma and med-tech through academia-industry collaboration and support for cutting-edge medical research.,https://www.myscheme.gov.in,21,none,any,any,null,Pharma Company / startup / R&D Org / Academic Institute,any,any,any,Central,Graduate+,any,any,"Companies, startups, and institutions collaborating in pharma/med-tech research and innovation initiatives."
Regional Connectivity scheme (RCS - UDAN),Ministry of Civil Aviation,RCS aims to make air travel affordable and widespread by connecting underserved and unserved airports across India through viability gap funding and concessions.,https://www.myscheme.gov.in,21,none,any,any,null,Airline Operator / Airport Developer / state Govt,any,any,any,Central,none,any,any,"Airlines, developers, and states participating in UDAN bidding to operate underutilized airports."
Krishi Udaan scheme,Ministry of Civil Aviation,"Facilitates transportation of agri-produce by air from rural areas to markets, enhancing farmer income and reducing post-harvest loss.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer / FPO / Agri-logistics Provider / Airline Operator,any,any,any,Central,none,any,any,"Farmers, FPOs, and logistics firms transporting perishables from rural zones to urban hubs via air."
Production Linked Incentive (PLI) scheme for Drones,Ministry of Civil Aviation,"Incentives to encourage domestic drone & component manufacturing, aiming to make India a global drone hub.",https://www.myscheme.gov.in,21,none,any,any,null,Drone Manufacturer / Component Maker / startup / MSME,any,any,any,Central,Graduate+,any,any,"Eligible drone firms (as per PLI norms), including startups and MSMEs, manufacturing drones or key components."
Customs Cost Recovery (CCR) Charges Support,Ministry of Civil Aviation,Reimburses CCR charges to AAI & AAICLAS to boost air cargo infrastructure at smaller airports and promote regional cargo movement.,https://www.myscheme.gov.in,21,none,any,any,null,AAI / AAICLAS Cargo Logistics Operator,any,any,any,Central,none,any,any,AAI and AAICLAS operating cargo services in Tier II/III airports receive reimbursements for CCR expenses.
Research and Development (Coal Sector),Ministry of Coal,"Supports coal-related R&D for exploration, mining safety, beneficiation, and environmental protection, fostering sustainable practices.",https://www.myscheme.gov.in,21,none,any,any,null,Academic / Research Org / PSU / Private Coal Company,any,any,any,Central,Graduate+,any,any,"Eligible R&D institutes, coal firms, and academic bodies undertaking coal sector innovation and sustainability projects."
Exploration of Coal and Lignite,Ministry of Coal,Funds regional and detailed exploration of coal and lignite reserves to increase resource availability and support future coal mining projects.,https://www.myscheme.gov.in,21,none,any,any,null,Government Agency / PSU staff / Exploration Department,any,any,any,Central,none,any,any,"Government agencies, state departments, and central PSUs like CMPDI involved in exploration."
scheme for Promotion of Coal/Lignite Gasification,Ministry of Coal,"Promotes gasification of coal/lignite to produce syngas, methanol, hydrogen, and clean energy, encouraging environmentally friendly technology.",https://www.myscheme.gov.in,21,none,any,any,null,Public / Private Entity / PSU / Gasification Developer,any,any,any,Central,none,any,any,"Public and private sector entities, PSUs, and joint ventures in gasification projects."
APEDA – Agri Export Promotion,Department of Commerce,"Promotes export of agricultural and processed food products with financial assistance, quality development, and infrastructure support.",https://www.myscheme.gov.in,18,none,any,any,null,Exporter / Producer Company / state Agency,any,any,any,Central,none,any,any,"Exporters registered with APEDA, producer companies, cooperatives, and state agencies."
MPEDA – Marine Products Export Development,Department of Commerce,"Facilitates export of marine products by supporting aquaculture, processing, and infrastructure development.",https://www.myscheme.gov.in,18,none,any,any,null,Seafood Exporter / Aquaculture Farmer / Processing Unit,any,any,any,Central,none,any,any,"Seafood exporters, aquaculture farmers, and registered MPEDA participants."
Duty Drawback scheme,Department of Commerce,Provides refund of duties on imported inputs used in the manufacture of export goods to encourage exports.,https://www.myscheme.gov.in,18,none,any,any,null,Exporter,any,any,any,Central,none,any,any,Indian exporters who use imported inputs in exported products.
Tea Board,Department of Commerce,"Promotes tea cultivation, quality enhancement, export development, and welfare of tea workers.",https://www.myscheme.gov.in,18,none,any,any,null,Tea Grower / Exporter / Researcher / Worker Welfare Org,any,any,any,Central,none,any,any,"Tea growers, exporters, research bodies, and workers’ welfare boards."
Coffee Board,Department of Commerce,"Oversees research, development, marketing, and export promotion for coffee produced in India.",https://www.myscheme.gov.in,18,none,any,any,null,Coffee Grower / Cooperative / Exporter / Institution,any,any,any,Central,none,any,any,"Coffee growers, cooperatives, exporters, and registered institutions."
Rubber Board,Department of Commerce,"Promotes development of the rubber industry through extension services, R&D, and market support.",https://www.myscheme.gov.in,18,none,any,any,null,Rubber Grower / Processor / Cooperative / Industry stakeholder,any,any,any,Central,none,any,any,"Rubber growers, processors, cooperatives, and industry stakeholders."
Spices Board,Department of Commerce,"Responsible for export promotion, quality assurance, and development of spice production and processing.",https://www.myscheme.gov.in,18,none,any,any,null,Spice Exporter / Producer / Cooperative,any,any,any,Central,none,any,any,"Spice exporters, producers, and cooperatives registered with the board."
Gems and Jewellery Sector,Department of Commerce,Supports modernization and competitiveness of the gems and jewellery industry to boost exports.,https://www.myscheme.gov.in,18,none,any,any,null,Manufacturer / Exporter / Industry Body,any,any,any,Central,none,any,any,"Manufacturers, exporters, and industry bodies in the gems and jewellery sector."
Interest Equalisation scheme (IES),Department of Commerce,Provides interest subvention on pre- and post-shipment export credit to make Indian products more competitive.,https://www.myscheme.gov.in,18,none,any,any,null,MSME Exporter / Manufacturer,any,any,any,Central,none,any,any,MSME exporters and manufacturers from specified sectors with valid IECs.
Export Promotion Mission,Department of Commerce,Aims to coordinate and implement comprehensive policies to boost exports across sectors.,https://www.myscheme.gov.in,18,none,any,any,null,Government Department / Exporter / Export Council Member,any,any,any,Central,none,any,any,"Government bodies, export councils, exporters — based on scheme-specific guidelines."
Centre for Research on International Trade (CRIT) – Centre for WTO studies,Department of Commerce,"Undertakes research and analysis on global trade issues, particularly related to WTO, to support policy formulation.",https://www.myscheme.gov.in,21,none,any,any,null,Researcher / Policy Maker / Institution,any,any,any,Central,Graduate,any,any,"Researchers, policy makers, and institutions involved in global trade and WTO matters."
Transport and Marketing Assistance (TMA) scheme for Specified Agriculture Products,Department of Commerce,Provides financial assistance for transport and marketing of agricultural products to boost agri exports.,https://www.myscheme.gov.in,18,none,any,any,null,Agricultural Exporter,any,any,any,Central,none,any,any,"Exporters of eligible agricultural products under APEDA, as notified by the government."
Industrial Infrastructure Upgradation scheme (IIUS),DPIIT,Enhances competitiveness of industry by upgrading infrastructure in industrial clusters.,https://www.myscheme.gov.in,21,none,any,any,null,state Govt / SPV / Cluster Industry,any,any,any,Central,none,any,any,"state govts, SPVs, and cluster industries aiming to upgrade industrial infrastructure."
National Industrial Corridor Development and Implementation Trust (NICDIT),DPIIT,Develops world-class industrial corridors and smart cities to boost industrial growth.,https://www.myscheme.gov.in,21,none,any,any,null,Govt Entity / Private Developer,any,any,any,Central,none,any,any,Govt agencies and developers in notified industrial zones and smart city projects.
scheme for Investment Promotion,DPIIT,"Promotes investments in India through outreach, branding, and facilitation services.",https://www.myscheme.gov.in,21,none,any,any,null,Investment Promotion Agency / Industry Body,any,any,any,Central,none,any,any,Organizations promoting industrial investments in India under DPIIT guidance.
Fund of Funds,DPIIT,Supports AIFs to invest in startups as part of startup India initiative.,https://www.myscheme.gov.in,18,none,any,any,null,SEBI-Registered AIF / startup,any,any,any,Central,none,any,any,SEBI-registered AIFs and Indian startups receiving venture funding.
Fund of Funds 2.0,DPIIT,Expansion of the Fund of Funds initiative to deepen support for the startup ecosystem across sectors.,https://www.myscheme.gov.in,18,none,any,any,null,SEBI-Registered AIF / startup,any,any,any,Central,none,any,any,AIFs investing in Indian startups across various sectors under startup India expansion.
startup India,DPIIT,"Provides support through regulatory easing, funding, incubation, and skill development.",https://www.myscheme.gov.in,18,none,any,any,null,DPIIT-Recognized startup,any,any,any,Central,none,any,any,startups recognized by DPIIT meeting innovation and age criteria.
startup India Seed Fund scheme (SISFS),DPIIT,Provides financial assistance to early-stage startups through incubators.,https://www.myscheme.gov.in,18,none,any,any,null,DPIIT-Recognized startup,any,any,any,Central,none,any,any,startups with innovative ideas and limited funding supported via DPIIT incubators.
Ease of Doing Business,DPIIT,Implements reforms to make it easier to start and operate a business in India.,https://www.myscheme.gov.in,18,none,any,any,null,Business Owner / Entrepreneur,any,any,any,Central,none,any,any,Applicable to all businesses across sectors benefiting from policy reforms.
PLI scheme for White Goods (ACs and LED Lights),DPIIT,Encourages domestic manufacturing by offering incentives for production.,https://www.myscheme.gov.in,18,none,any,any,null,White Goods Manufacturer,any,any,any,Central,none,any,any,Manufacturers of ACs and LED lights meeting investment and sales thresholds.
Manufacturing Mission - Furthering Make in India,DPIIT,Aims to promote domestic manufacturing and industrial self-reliance.,https://www.myscheme.gov.in,18,none,any,any,null,Industry / startup under Make in India,any,any,any,Central,none,any,any,"startups and industries aligned with ""Make in India"" policies and incentives."
PLI scheme for Footwear and Leather Sector,DPIIT,Incentivizes domestic manufacturing in leather and footwear sectors.,https://www.myscheme.gov.in,18,none,any,any,null,Leather/Footwear Manufacturer,any,any,any,Central,none,any,any,Manufacturers in leather/footwear sector with defined turnover thresholds.
UNNATI 2024 (Uttar Poorva Industrialization),DPIIT,Industrial development scheme for north East India to attract investments.,https://www.myscheme.gov.in,18,none,any,any,null,Industrial Unit (north East India),any,any,any,Central,none,any,any,Industries establishing units in north Eastern states.
NEIPP,DPIIT,Offers fiscal incentives to industries in north Eastern Region to encourage investments.,https://www.myscheme.gov.in,18,none,any,any,null,New/Existing Industry in NE Region,any,any,any,Central,none,any,any,Eligible industrial units (new/existing) in north Eastern states.
NEIDS 2017,DPIIT,Comprehensive incentives to promote industrial development in the north East.,https://www.myscheme.gov.in,18,none,any,any,null,Manufacturing/Service Unit in NE,any,any,any,Central,none,any,any,New or expanding manufacturing/service units in NE region.
Transport/Freight Subsidy scheme,DPIIT,Reduces transportation costs for industries in remote/hilly regions.,https://www.myscheme.gov.in,18,none,any,any,null,Industrial Units in Remote/Hilly Areas,any,any,any,Central,none,any,any,Industrial units in eligible areas availing transport/freight reimbursement.
Industrial Development scheme 2017 – J&K and Ladakh,DPIIT,Aims to attract investments and generate employment in J&K and Ladakh.,https://www.myscheme.gov.in,18,none,any,any,null,Manufacturing/Service Unit,any,any,any,Central,none,any,any,Manufacturing and service units in J&K and Ladakh.
Industrial Development scheme – HP and Uttarakhand,DPIIT,Supports industries through capital subsidy and transport incentives.,https://www.myscheme.gov.in,18,none,any,any,null,Industrial Unit,any,any,any,Central,none,any,any,Eligible units in notified districts of Himachal Pradesh and Uttarakhand.
